Godzilla_vs_Doge William_Halsey Action Cineplex
Back_to_The_Past George_Best Sci-fi CGV
Train_to_Gerlong Gerald_Ford Horror XXI
How_to_Train_Your_Kitty William_Halsey Comedy CGV
Spider_Man_No_Way_Home Jon_Watts Action CGV
Antlers Scoot_Cooper Thriller Platinum
Encanto Byron_Howard Fantasy Cinemaxx
A_Perfect_Fit Hadrah_Daeng_Ratu Romance Cinema_21
Raya_and_the_Last_Dragon Don_Hall Family Blockbuster
Spider_Man_Far_from_Home Jon_Watts Action XXI
Cop_Car Jon_Watts Thriller Platinum
Zootopia Byron_Howard Family E_Plaza
Big_Hero_6 Don_Hall Comedy Cinemaxx
#### #### #### ####
