1 Ash Dr_Ashleigh_Reid
2 Bangalore Anita_Williams
3 Bloodhound Unknown
4 Caustic Alexander_Nox
5 Crypto Tae_Joon_Park
6 Fuse Walter_Fitzroy
7 Gibraltar Makoa_Gibraltar
8 Horizon Dr_Mary_Somers
9 Lifeline Ajay_Che
10 Loba Loba_Andrade
11 Mad_Maggie Margaret_Kohere
12 Mirage Elliot_Witt
13 Octane Octavio_Silva
14 Pathfinder MRVN
15 Rampart Ramya_Parekh
16 Revenant Unknown
17 Seer Obi_Edolasim
18 Valkyrie Kairi_Imahara
19 Wattson Natalie_Paquette
20 Wraith Renee_Blasey
50 newcastle williams
#### #### ####
